"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction","Whole_workflow_01-Alive","Whole_workflow_02-Questions","Whole_workflow_03-Create","Whole_workflow_04-User-Questions","Whole_workflow_05-Update-Password","Whole_workflow_06-Login","Whole_workflow_07-Create-Credential","Whole_workflow_08-List","Whole_workflow_09-Search","Whole_workflow_10-Update-credential","Whole_workflow_11-Get-credential","Whole_workflow_12-Delete-credential","Whole_workflow_13-Export","Whole_workflow_14-Delete-account"
"00:01","","","0","0.223","0.056","0.063","0.056","0.061","","","","","","","","",""
"00:02","1.098","0","","","","","","","0.058","0.065","0.083","0.056","0.068","0.134","0.058","0.058","0.058"
"00:04","","","0","0.256","0.055","0.06","0.09","0.058","0.146","0.103","0.055","0.056","","","","",""
"00:05","1.186","0","","","","","","","","","","","0.058","0.055","0.079","0.055","0.059"
"00:07","","","0","0.221","0.055","0.06","0.056","0.058","0.055","0.057","0.054","0.055","0.06","0.055","0.057","",""
"00:08","0.957","0","","","","","","","","","","","","","","0.055","0.059"
"00:10","","","0","0.233","0.08","0.06","0.061","0.074","0.056","0.057","0.061","0.063","","","","",""
"00:11","1.043","0","","","","","","","","","","","0.063","0.059","0.059","0.056","0.058"
"00:13","","","0","0.22","0.054","0.06","0.055","0.058","0.054","0.056","0.055","0.054","0.058","","","",""
"00:14","0.954","0","","","","","","","","","","","","0.054","0.057","0.057","0.06"
"00:16","","","0","0.263","0.056","0.06","0.056","0.061","0.054","0.056","0.078","0.054","","","","",""
"00:17","1.026","0","","","","","","","","","","","0.057","0.054","0.059","0.057","0.059"
"00:19","","","0","0.218","0.054","0.062","0.056","0.059","0.055","0.06","0.055","0.054","","","","",""
"00:20","0.96","0","","","","","","","","","","","0.056","0.055","0.056","0.057","0.059"
"00:22","","","0","0.221","0.062","0.061","0.066","0.056","0.055","0.06","","","","","","",""
"00:23","0.979","0","","","","","","","","","0.057","0.054","0.056","0.054","0.058","0.06","0.057"
"00:25","","","0","0.258","0.057","0.061","0.055","0.134","","","","","","","","",""
"00:26","1.085","0","","","","","","","0.054","0.06","0.058","0.059","0.058","0.058","0.062","0.054","0.058"
"00:28","","","0","0.245","0.067","0.074","0.067","0.072","","","","","","","","",""
"00:29","1.268","0","","","","","","","0.07","0.125","0.13","0.089","0.075","0.087","0.056","0.054","0.057"
