"Relative Time","Hits"
"00:00","8.563"
"00:16","8.063"
"00:32","8.438"
"00:48","8.063"
"01:04","7.875"
"01:20","7.313"
"01:36","10.875"
"01:52","7.5"
"02:08","7.875"
"02:24","7.875"
"02:40","7.875"
"02:56","8.063"
"03:12","7.875"
"03:28","8.25"
"03:44","7.5"
"04:00","8.438"
"04:16","7.688"
"04:32","10.5"
"04:48","8.063"
"05:04","7.688"
"05:20","7.688"
"05:36","7.875"
"05:52","8.063"
"06:08","8.063"
"06:24","8.25"
"06:40","8.25"
"06:56","8.25"
"07:12","10.313"
"07:28","8.063"
"07:44","8.063"
"08:00","8.25"
"08:16","8.063"
"08:32","8.25"
"08:48","8.25"
"09:04","8.25"
"09:20","7.875"
"09:36","7.688"
"09:52","7.6"
