"Relative Time","Performance-Create","Performance-Create-Credential","Performance-Delete-account","Performance-Delete-credential","Performance-List","Performance-Login"
"00:00","0.415","0.224","","0.06","0.06","0.131"
"00:16","","0.232","","0.064","0.063",""
"00:32","","0.23","","0.062","0.059",""
"00:48","","0.232","","0.068","0.059",""
"01:04","","0.247","","0.064","0.063",""
"01:20","","0.267","","0.073","0.066",""
"01:36","","0.23","","0.064","0.059",""
"01:52","","0.239","","0.061","0.059",""
"02:08","","0.273","","0.065","0.06",""
"02:24","","0.244","","0.064","0.062",""
"02:40","","0.242","","0.066","0.061",""
"02:56","","0.243","","0.064","0.062",""
"03:12","","0.239","","0.059","0.058",""
"03:28","","0.23","","0.062","0.06",""
"03:44","","0.26","","0.063","0.061",""
"04:00","","0.228","","0.062","0.062",""
"04:16","","0.239","","0.066","0.064",""
"04:32","","0.239","","0.065","0.059",""
"04:48","","0.231","","0.067","0.058",""
"05:04","","0.238","","0.068","0.062",""
"05:20","","0.242","","0.07","0.063",""
"05:36","","0.243","","0.068","0.065",""
"05:52","","0.235","","0.062","0.061",""
"06:08","","0.24","","0.061","0.064",""
"06:24","","0.235","","0.062","0.059",""
"06:40","","0.236","","0.063","0.057",""
"06:56","","0.234","","0.066","0.058",""
"07:12","","0.247","","0.069","0.064",""
"07:28","","0.237","","0.064","0.057",""
"07:44","","0.238","","0.065","0.063",""
"08:00","","0.233","","0.061","0.061",""
"08:16","","0.246","","0.063","0.061",""
"08:32","","0.231","","0.06","0.058",""
"08:48","","0.227","","0.059","0.057",""
"09:04","","0.241","","0.061","0.061",""
"09:20","","0.242","","0.062","0.058",""
"09:36","","0.249","","0.064","0.06",""
"09:52","","0.227","0.064","0.064","0.063",""
