"Relative Time","Hits"
"00:00","1.313"
"00:16","1.063"
"00:32","0.625"
"00:48","1.188"
"01:04","0.188"
"01:20","0.125"
"01:36","4.375"
"01:52","1.25"
"02:08","2.125"
"02:24","3.438"
"02:40","0.125"
"02:56","0.063"
"03:12","0.438"
"03:28","0.375"
"03:44","0.125"
"04:00","0.5"
"04:16","0.313"
"04:32","0.063"
"04:48","1.438"
"05:04","1.938"
"05:20","1.938"
"05:36","1.125"
"05:52","0.063"
"06:08","1.75"
"06:24","0.438"
"06:40","1.063"
"06:56","3.438"
"07:12","0.063"
"07:28","4.313"
"07:44","0.063"
"08:00","0"
"08:16","1.125"
"08:32","0"
"08:48","0"
"09:04","0.063"
"09:20","0.125"
"09:36","0"
"09:52","0.125"
"10:08","0.063"
"10:24","0"
"10:40","0.063"
"10:56","0.625"
"11:12","0"
"11:28","0.625"
"11:44","0"
"12:00","0"
