"Relative Time","Throughput"
"00:00","87867.19"
"00:16","83560.63"
"00:32","79685"
"00:48","40119.81"
"01:04","811"
"01:20","540.75"
"01:36","40487"
"01:52","10797.75"
"02:08","19973.13"
"02:24","30544.13"
"02:40","292.25"
"02:56","146.125"
"03:12","11095.88"
"03:28","15986.25"
"03:44","5328.75"
"04:00","16004.13"
"04:16","5382.375"
"04:32","35.75"
"04:48","20250.75"
"05:04","30402.94"
"05:20","97983.13"
"05:36","62836.88"
"05:52","23873.69"
"06:08","93552.88"
"06:24","28442.5"
"06:40","9986.563"
"06:56","31041.56"
"07:12","270.313"
"07:28","40092.13"
"07:44","270.313"
"08:00","0"
"08:16","10132.69"
"08:32","0"
"08:48","0"
"09:04","146.125"
"09:20","5328.75"
"09:36","0"
"09:52","5328.75"
"10:08","17.875"
"10:24","0"
"10:40","0"
"10:56","10134.31"
"11:12","0"
"11:28","10116.44"
"11:44","0"
"12:00","0"
