"Relative Time","Action_Transaction","Case_g01_01_URL","Case_g01_02_Our-Coaches","Case_g01_03_Contact-Us","Case_g01_04_San-Franscisco-Tours","Case_g01_05_Specialized-Tours","Case_g01_06_More-Of-Where-We-Go","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","","","","","","0"
"00:16","","","","","","","","","0"
"00:32","","","","","","","","","0"
"00:48","","0","","","","","","",""
"01:04","","0","","","","","","",""
"01:20","","0","0.889","","","","","",""
"01:36","","0","0.791","","","","","",""
"01:52","","0","0.784","","","","","",""
"02:08","","","0.893","0.155","","","","",""
"02:24","","","0.789","0.183","","","","",""
"02:40","","","","0.159","","","","",""
"02:56","","","","0.16","","","","",""
"03:12","","","","0.155","0.67","","","",""
"03:28","","","","","0.838","","","",""
"03:44","","","","","0.66","","","",""
"04:00","","","","","0.679","0.167","","",""
"04:16","","","","","","0.166","","",""
"04:32","","","","","","0.165","","",""
"04:48","","","","","","0.191","","",""
"05:04","3.993","","","","","0.166","0.514","",""
"05:20","3.714","","","","","","0.588","",""
"05:36","7.008","","","","","","0.625","",""
"06:08","","0","","","","","","",""
"06:24","24.46","0","","","","","21.192","",""
"06:40","","","0.79","","","","","",""
"06:56","","0","1.642","","","","","",""
"07:28","","","0.808","0.155","","","","",""
"07:44","","0","","","","","","",""
"08:00","","","","","","","","0",""
"08:16","","","0.759","0.151","","","","",""
"08:32","","","","","","","","0",""
"08:48","","","","0.199","","","","0",""
"09:04","","","","","0.696","","","",""
"09:52","","","","","0.846","","","",""
"10:08","","","","","","0.171","","",""
"10:40","","","","","","0.349","","",""
"11:12","25.735","","","","","","0.56","0",""
"12:00","24.539","","","","","","0.528","0",""
