"Relative Time","Hits"
"00:00","0.625"
"00:08","0.125"
"00:16","0.75"
"00:24","1.375"
"00:32","1.375"
"00:40","0.5"
"00:48","1.75"
"00:56","1.5"
"01:04","0.5"
"01:12","1.75"
"01:20","1.5"
"01:28","0.5"
"01:36","1.875"
"01:44","1.375"
"01:52","2.125"
"02:00","0.25"
"02:08","1.75"
"02:16","1.75"
"02:24","1.625"
"02:32","0.375"
"02:40","2"
"02:48","1.375"
"02:56","2.125"
"03:04","0.25"
"03:12","1.75"
"03:20","1.75"
"03:28","1.625"
"03:36","0.875"
"03:44","1.5"
"03:52","1.5"
"04:00","1.375"
"04:08","1"
"04:16","1.5"
"04:24","1.875"
"04:32","0.5"
"04:40","2"
"04:48","1.25"
"04:56","1.75"
"05:04","1.375"
"05:12","1"
"05:20","1.5"
"05:28","1.875"
"05:36","1.125"
"05:44","1.25"
"05:52","0.75"
"06:00","0.875"
"06:08","0.625"
"06:16","0.125"
"06:24","0.125"
"06:32","0"
