"Relative Time","Throughput"
"00:00","2600.25"
"00:08","0"
"00:16","3576.5"
"00:24","6174"
"00:32","7150"
"00:40","974"
"00:48","8776.125"
"00:56","8123.25"
"01:04","3573"
"01:12","6174.25"
"01:20","8124.25"
"01:28","975.75"
"01:36","8774.375"
"01:44","8124.25"
"01:52","9748.875"
"02:00","0"
"02:08","8124.375"
"02:16","9750"
"02:24","8125.75"
"02:32","0"
"02:40","9749.125"
"02:48","8124.25"
"02:56","9748.75"
"03:04","0"
"03:12","8124.25"
"03:20","9750"
"03:28","8123.25"
"03:36","2600.25"
"03:44","7148.375"
"03:52","8123.25"
"04:00","6174.875"
"04:08","4550.5"
"04:16","7146.625"
"04:24","9750.75"
"04:32","1949"
"04:40","8771.75"
"04:48","7149.5"
"04:56","8122"
"05:04","6176"
"05:12","4548.25"
"05:20","7147.25"
"05:28","9749.5"
"05:36","5522.5"
"05:44","5202"
"05:52","4549"
"06:00","4548.5"
"06:08","2600"
"06:16","975.25"
"06:24","974.5"
"06:32","0"
