"Relative Time","01_PLATICA_REGISTER_1010_Home","01_PLATICA_REGISTER_1020_Registrate","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","1.347","","","","0"
"00:08","2.558","0.933","","","0"
"00:16","2.288","","2.282","","0"
"00:24","0.91","0.507","","","0"
"00:32","1.396","0.613","3.066","",""
"00:40","3.794","1.121","2.256","","0"
"00:48","2.784","0.667","2.08","",""
"00:56","2.133","1.137","2.388","",""
"01:04","2.97","1.459","4.674","",""
"01:12","2.472","","1.595","",""
"01:20","0.903","0.632","4.529","",""
"01:28","0.698","0.914","3.603","",""
"01:36","2.254","0.44","2.601","",""
"01:52","0.831","0.393","1.139","",""
"02:00","0.869","0.331","2.647","",""
"02:08","1.257","0.945","1.163","",""
"02:16","1.307","","","",""
"02:24","0.557","0.244","1.815","",""
"02:32","0.818","0.227","1.518","",""
"02:40","0.769","0.247","0.784","",""
"02:48","","","0.938","",""
"02:56","1.275","0.496","1.129","",""
"03:04","0.62","0.243","1.265","",""
"03:12","0.766","0.221","1.518","",""
"03:20","","","0.842","",""
"03:28","1.624","0.372","","",""
"03:36","1.083","0.647","1.139","",""
"03:44","1.771","0.517","2.272","",""
"03:52","2.586","1.695","0.772","",""
"04:00","0.74","0.305","2.605","",""
"04:08","1.306","0.392","2.486","",""
"04:16","0.85","0.229","1.067","",""
"04:24","0.677","0.261","1.269","",""
"04:32","2.423","0.851","1.572","",""
"04:40","0.836","0.209","1.433","",""
"04:48","","0.235","","",""
"04:56","0.677","0.213","2.034","",""
"05:04","0.699","0.223","1.179","",""
"05:12","0.799","0.534","0.923","",""
"05:20","0.53","","1.211","",""
"05:28","0.705","0.304","","",""
"05:36","0.84","0.575","1.127","",""
"05:44","1.167","0.527","1.059","0",""
"05:52","","0.936","","",""
"06:00","0.673","","1.816","0",""
"06:08","1.781","0.431","1.491","",""
"06:16","","0.331","1.105","0",""
"06:24","","","2.113","0",""
